JVM,Version,VM,OS,Architecture,Distribution,Packaging,JavaFX,JCK,Free,License,Maintained,Supported,Link
AdoptOpenJDK,15,OpenJ9,Linux,PPC-64 LE,JDK,Archive,No,No,Yes,GPLv2+CPE,2021-03,No,https://adoptopenjdk.net/releases.html
AdoptOpenJDK,15,OpenJ9,Linux,PPC-64 LE,JRE,Archive,No,No,Yes,GPLv2+CPE,2021-03,No,https://adoptopenjdk.net/releases.html
AdoptOpenJDK,15,OpenJ9,Linux,S390-64,JDK,Archive,No,No,Yes,GPLv2+CPE,2021-03,No,https://adoptopenjdk.net/releases.html
AdoptOpenJDK,15,OpenJ9,Linux,S390-64,JRE,Archive,No,No,Yes,GPLv2+CPE,2021-03,No,https://adoptopenjdk.net/releases.html
AdoptOpenJDK,15,OpenJ9,Linux,x86-64,JRE,Archive,No,No,Yes,GPLv2+CPE,2021-03,No,https://adoptopenjdk.net/releases.html
AdoptOpenJDK,15,OpenJ9,macOS,x86-64,JDK,Archive,No,No,Yes,GPLv2+CPE,2021-03,No,https://adoptopenjdk.net/releases.html
AdoptOpenJDK,15,OpenJ9,macOS,x86-64,JDK,PKG,No,No,Yes,GPLv2+CPE,2021-03,No,https://adoptopenjdk.net/releases.html
AdoptOpenJDK,15,OpenJ9,macOS,x86-64,JRE,Archive,No,No,Yes,GPLv2+CPE,2021-03,No,https://adoptopenjdk.net/releases.html
AdoptOpenJDK,15,OpenJ9,macOS,x86-64,JRE,PKG,No,No,Yes,GPLv2+CPE,2021-03,No,https://adoptopenjdk.net/releases.html
AdoptOpenJDK,15,OpenJ9,Windows,x86-64,JDK,Archive,No,No,Yes,GPLv2+CPE,2021-03,No,https://adoptopenjdk.net/releases.html
AdoptOpenJDK,15,OpenJ9,Windows,x86-64,JDK,Installer,No,No,Yes,GPLv2+CPE,2021-03,No,https://adoptopenjdk.net/releases.html
AdoptOpenJDK,15,OpenJ9,Windows,x86-64,JRE,Archive,No,No,Yes,GPLv2+CPE,2021-03,No,https://adoptopenjdk.net/releases.html
AdoptOpenJDK,15,OpenJ9,Windows,x86-64,JRE,Installer,No,No,Yes,GPLv2+CPE,2021-03,No,https://adoptopenjdk.net/releases.html
Alibaba Dragonwell,8,HotSpot,Linux,AARCH-64,JDK,Archive,No,No,Yes,GPLv2+CPE,n/a,No,https://github.com/alibaba/dragonwell8/releases
Alibaba Dragonwell,8,HotSpot,Linux,x86-64,JDK,Archive,No,No,Yes,GPLv2+CPE,n/a,No,https://github.com/alibaba/dragonwell8/releases
Alibaba Dragonwell,8,HotSpot,Windows,x86-64,JDK,Archive,No,No,Yes,GPLv2+CPE,n/a,No,https://github.com/alibaba/dragonwell8/releases
Alibaba Dragonwell,11,HotSpot,Linux,AARCH-64,JDK,Archive,No,No,Yes,GPLv2+CPE,n/a,No,https://github.com/alibaba/dragonwell11/releases
Alibaba Dragonwell,11,HotSpot,Linux,x86-64,JDK,Archive,No,No,Yes,GPLv2+CPE,n/a,No,https://github.com/alibaba/dragonwell11/releases
Alibaba Dragonwell,11,HotSpot,Windows,x86-64,JDK,Archive,No,No,Yes,GPLv2+CPE,n/a,No,https://github.com/alibaba/dragonwell11/releases
Amazon Corretto,8,HotSpot,Linux,AARCH-64,JDK,Archive,No,Yes,Yes,GPLv2+CPE,2023-06,On AWS,https://docs.aws.amazon.com/corretto/latest/corretto-8-ug/downloads-list.html
Amazon Corretto,8,HotSpot,Linux,AARCH-64,JDK,Debian,No,Yes,Yes,GPLv2+CPE,2023-06,On AWS,https://docs.aws.amazon.com/corretto/latest/corretto-8-ug/downloads-list.html
Amazon Corretto,8,HotSpot,Linux,AARCH-64,JDK,RPM,No,Yes,Yes,GPLv2+CPE,2023-06,On AWS,https://docs.aws.amazon.com/corretto/latest/corretto-8-ug/downloads-list.html
Amazon Corretto,8,HotSpot,Linux,x86-64,JDK,Archive,No,Yes,Yes,GPLv2+CPE,2023-06,On AWS,https://docs.aws.amazon.com/corretto/latest/corretto-8-ug/downloads-list.html
Amazon Corretto,8,HotSpot,Linux,x86-64,JDK,Debian,No,Yes,Yes,GPLv2+CPE,2023-06,On AWS,https://docs.aws.amazon.com/corretto/latest/corretto-8-ug/downloads-list.html
Amazon Corretto,8,HotSpot,Linux,x86-64,JDK,RPM,No,Yes,Yes,GPLv2+CPE,2023-06,On AWS,https://docs.aws.amazon.com/corretto/latest/corretto-8-ug/downloads-list.html
Amazon Corretto,8,HotSpot,macOS,x86-64,JDK,Archive,No,Yes,Yes,GPLv2+CPE,2023-06,On AWS,https://docs.aws.amazon.com/corretto/latest/corretto-8-ug/downloads-list.html
Amazon Corretto,8,HotSpot,macOS,x86-64,JDK,PKG,No,Yes,Yes,GPLv2+CPE,2023-06,On AWS,https://docs.aws.amazon.com/corretto/latest/corretto-8-ug/downloads-list.html
Amazon Corretto,8,HotSpot,Windows,x86-32,JDK,Archive,No,Yes,Yes,GPLv2+CPE,2023-06,On AWS,https://docs.aws.amazon.com/corretto/latest/corretto-8-ug/downloads-list.html
Amazon Corretto,8,HotSpot,Windows,x86-32,JDK,installer,No,Yes,Yes,GPLv2+CPE,2023-06,On AWS,https://docs.aws.amazon.com/corretto/latest/corretto-8-ug/downloads-list.html
Amazon Corretto,8,HotSpot,Windows,x86-32,JRE,Archive,No,Yes,Yes,GPLv2+CPE,2023-06,On AWS,https://docs.aws.amazon.com/corretto/latest/corretto-8-ug/downloads-list.html
Amazon Corretto,8,HotSpot,Windows,x86-64,JDK,Archive,No,Yes,Yes,GPLv2+CPE,2023-06,On AWS,https://docs.aws.amazon.com/corretto/latest/corretto-8-ug/downloads-list.html
Amazon Corretto,8,HotSpot,Windows,x86-64,JDK,installer,No,Yes,Yes,GPLv2+CPE,2023-06,On AWS,https://docs.aws.amazon.com/corretto/latest/corretto-8-ug/downloads-list.html
Amazon Corretto,8,HotSpot,Windows,x86-64,JRE,Archive,No,Yes,Yes,GPLv2+CPE,2023-06,On AWS,https://docs.aws.amazon.com/corretto/latest/corretto-8-ug/downloads-list.html
Amazon Corretto,11,HotSpot,Linux,AARCH-64,JDK,Archive,No,Yes,Yes,GPLv2+CPE,2024-08,On AWS,https://docs.aws.amazon.com/corretto/latest/corretto-11-ug/downloads-list.html
Amazon Corretto,11,HotSpot,Linux,AARCH-64,JDK,Debian,No,Yes,Yes,GPLv2+CPE,2024-08,On AWS,https://docs.aws.amazon.com/corretto/latest/corretto-11-ug/downloads-list.html
Amazon Corretto,11,HotSpot,Linux,AARCH-64,JDK,RPM,No,Yes,Yes,GPLv2+CPE,2024-08,On AWS,https://docs.aws.amazon.com/corretto/latest/corretto-11-ug/downloads-list.html
Amazon Corretto,11,HotSpot,Linux,x86-64,JDK,Archive,No,Yes,Yes,GPLv2+CPE,2024-08,On AWS,https://docs.aws.amazon.com/corretto/latest/corretto-11-ug/downloads-list.html
Amazon Corretto,11,HotSpot,Linux,x86-64,JDK,Debian,No,Yes,Yes,GPLv2+CPE,2024-08,On AWS,https://docs.aws.amazon.com/corretto/latest/corretto-11-ug/downloads-list.html
Amazon Corretto,11,HotSpot,Linux,x86-64,JDK,RPM,No,Yes,Yes,GPLv2+CPE,2024-08,On AWS,https://docs.aws.amazon.com/corretto/latest/corretto-11-ug/downloads-list.html
Amazon Corretto,11,HotSpot,macOS,x86-64,JDK,Archive,No,Yes,Yes,GPLv2+CPE,2024-08,On AWS,https://docs.aws.amazon.com/corretto/latest/corretto-11-ug/downloads-list.html
Amazon Corretto,11,HotSpot,macOS,x86-64,JDK,PKG,No,Yes,Yes,GPLv2+CPE,2024-08,On AWS,https://docs.aws.amazon.com/corretto/latest/corretto-11-ug/downloads-list.html
Amazon Corretto,11,HotSpot,Windows,x86-64,JDK,Archive,No,Yes,Yes,GPLv2+CPE,2024-08,On AWS,https://docs.aws.amazon.com/corretto/latest/corretto-11-ug/downloads-list.html
Amazon Corretto,11,HotSpot,Windows,x86-64,JDK,Installer,No,Yes,Yes,GPLv2+CPE,2024-08,On AWS,https://docs.aws.amazon.com/corretto/latest/corretto-11-ug/downloads-list.html
Amazon Corretto,15,HotSpot,Linux,AARCH-64,JDK,Archive,No,Yes,Yes,GPLv2+CPE,2021-03,On AWS,https://docs.aws.amazon.com/corretto/latest/corretto-15-ug/downloads-list.html
Amazon Corretto,15,HotSpot,Linux,AARCH-64,JDK,Debian,No,Yes,Yes,GPLv2+CPE,2021-03,On AWS,https://docs.aws.amazon.com/corretto/latest/corretto-15-ug/downloads-list.html
Amazon Corretto,15,HotSpot,Linux,AARCH-64,JDK,RPM,No,Yes,Yes,GPLv2+CPE,2021-03,On AWS,https://docs.aws.amazon.com/corretto/latest/corretto-15-ug/downloads-list.html
Amazon Corretto,15,HotSpot,Linux,x86-64,JDK,Archive,No,Yes,Yes,GPLv2+CPE,2021-03,On AWS,https://docs.aws.amazon.com/corretto/latest/corretto-15-ug/downloads-list.html
Amazon Corretto,15,HotSpot,Linux,x86-64,JDK,Debian,No,Yes,Yes,GPLv2+CPE,2021-03,On AWS,https://docs.aws.amazon.com/corretto/latest/corretto-15-ug/downloads-list.html
Amazon Corretto,15,HotSpot,Linux,x86-64,JDK,RPM,No,Yes,Yes,GPLv2+CPE,2021-03,On AWS,https://docs.aws.amazon.com/corretto/latest/corretto-15-ug/downloads-list.html
Amazon Corretto,15,HotSpot,macOS,x86-64,JDK,Archive,No,Yes,Yes,GPLv2+CPE,2021-03,On AWS,https://docs.aws.amazon.com/corretto/latest/corretto-15-ug/downloads-list.html
Amazon Corretto,15,HotSpot,macOS,x86-64,JDK,PKG,No,Yes,Yes,GPLv2+CPE,2021-03,On AWS,https://docs.aws.amazon.com/corretto/latest/corretto-15-ug/downloads-list.html
Amazon Corretto,15,HotSpot,Windows,x86-64,JDK,Archive,No,Yes,Yes,GPLv2+CPE,2021-03,On AWS,https://docs.aws.amazon.com/corretto/latest/corretto-15-ug/downloads-list.html
Amazon Corretto,15,HotSpot,Windows,x86-64,JDK,Installer,No,Yes,Yes,GPLv2+CPE,2021-03,On AWS,https://docs.aws.amazon.com/corretto/latest/corretto-15-ug/downloads-list.html
Debian OpenJDK,6,HotSpot,Linux,x86-64,JDK,Debian,No,No,Yes,GPLv2+CPE,No,No,https://packages.debian.org/sid/openjdk-6-jdk
Debian OpenJDK,6,HotSpot,Linux,x86-64,JRE,Debian,No,No,Yes,GPLv2+CPE,No,No,https://packages.debian.org/sid/openjdk-6-jre
Debian OpenJDK,7,HotSpot,Linux,ARM-32 EL,JDK,Debian,No,No,Yes,GPLv2+CPE,n/a,No,https://packages.debian.org/jessie/openjdk-7-jdk
Debian OpenJDK,7,HotSpot,Linux,ARM-32 EL,JRE,Debian,No,No,Yes,GPLv2+CPE,n/a,No,https://packages.debian.org/jessie/openjdk-7-jre
